name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Default,AMOK,Atoms For Peace,1RXnyc0zTy3aDeUxmixsev,2013-02-25,0,0.793,0.855,0.697,-4.863,1
Alura,Alura,Sweet Trip,4Wj6bP2bTc0v2U1VifgoGA,1999-08-17,29,0.661,0.762,0.549,-9.978,1
Building Steam With A Grain Of Salt,Endtroducing.....,DJ Shadow,4cucslsiEgezV2o900Ykg3,1996-09-16,58,0.613,0.832,0.48,-9.187,1
The Bottom Feeders,Bastion Original Soundtrack,Darren Korb,6lcfhJLGi1kysDYVyfEskq,2011-08-05,31,0.549,0.936,0.756,-5.7,1
Breakdown,I Robot (Legacy Edition),The Alan Parsons Project,1X8GfZOs2GR2tru3QTO9MI,1977-06-01,44,0.365,0.719,0.597,-5.336,1
Well Rested,Civilisation II,Kero Kero Bonito,2as0SjHe6BVgirrR7GMqzY,2021-04-21,42,0.626,0.875,0.295,-7.041,1
Eventually,Currents,Tame Impala,5M4yti0QxgqJieUYaEXcpw,2015-07-17,86,0.424,0.615,0.155,-6.217,1
Shape Da Future,Jet Set Radio Future SEGA Original Tracks,SEGA SOUND TEAM,4Ub2nExkn7hkLfYuEPNVsM,2012-10-03,38,0.55,0.98,0.568,-5.409,1
I Robot,I Robot (Legacy Edition),The Alan Parsons Project,3BoGLNCZJXzvRugqtROpAY,1977-06-01,44,0.598,0.809,0.492,-9.43,1
Lotus Flower,The King Of Limbs,Radiohead,2QeutlLcJf2V1cMUUsDFT1,2011-02-18,61,0.721,0.676,0.62,-8.78,1
Long Road Home,Magic Oneohtrix Point Never,Oneohtrix Point Never,31Ocb5xOyTkjIyv7FdBF05,2020-10-30,46,0.469,0.592,0.377,-6.934,1
Overdose Delusion,SILENT HILL2 (Original Soundtrack),Akira Yamaoka,1r2vjxG7JnunRTFnt5zkiN,2001-10-03,38,0.212,0.707,0.306,-7.549,1
I'll Be Here Awhile,From Chaos,311,1mHZhWJu6RVJhyu3USZdI5,2001-06-19,58,0.638,0.867,0.896,-6.815,1
Not In Love,Not In Love feat. Robert Smith,Crystal Castles,3CsMdAuNoD7e8kRzHV24TR,2010-01-01,0,0.482,0.978,0.249,-4.132,1
Sabali,Welcome To Mali,Amadou & Mariam,0jHZ5yXOZNKvtwPGSgL0gX,2008-11-17,60,0.596,0.639,0.233,-6.546,1
Feel Good Inc.,Feel Good Inc. EP,Gorillaz,35SJAMEdYx6YNqCaFPInIp,2006-01-24,33,0.818,0.705,0.772,-6.679,1
Overfloater,Down On The Upside,Soundgarden,1U8v17QBWhtJqLmJxk4Sr6,1996-05-21,40,0.359,0.619,0.568,-9.979,1
Promise,SILENT HILL2 (Original Soundtrack),Akira Yamaoka,67rTwfoh6VyNeSsyGs1LMS,2001-10-03,47,0.519,0.737,0.163,-6.102,1
